user_id,event_date,last_payment_status,failed_payment_count_90d,days_since_last_payment,tenure_months,ARPU,email_token,phone_token
user_1,2025-10-01,failed,2,14,2,15.00,tok_email_1,tok_phone_1
user_2,2025-09-28,paid,0,5,12,12.50,tok_email_2,tok_phone_2
user_3,2025-10-03,failed,1,3,1,9.99,tok_email_3,tok_phone_3
user_4,2025-08-20,paid,0,40,24,19.00,tok_email_4,tok_phone_4
user_5,2025-09-15,failed,3,21,4,14.00,tok_email_5,tok_phone_5
user_6,2025-10-05,paid,0,2,6,11.00,tok_email_6,tok_phone_6
user_7,2025-07-30,paid,0,90,36,8.00,tok_email_7,tok_phone_7
user_8,2025-09-01,failed,1,28,8,13.50,tok_email_8,tok_phone_8
user_9,2025-10-02,paid,0,7,3,16.00,tok_email_9,tok_phone_9
user_10,2025-08-10,failed,2,60,18,10.00,tok_email_10,tok_phone_10
user_11,2025-09-22,paid,0,10,9,17.50,tok_email_11,tok_phone_11
user_12,2025-10-06,failed,1,1,0,7.99,tok_email_12,tok_phone_12
user_13,2025-07-15,paid,0,120,48,20.00,tok_email_13,tok_phone_13
user_14,2025-09-30,failed,2,12,5,9.50,tok_email_14,tok_phone_14
user_15,2025-10-04,paid,0,4,2,15.00,tok_email_15,tok_phone_15
user_16,2025-08-01,failed,1,75,30,18.00,tok_email_16,tok_phone_16
user_17,2025-09-10,paid,0,22,11,13.00,tok_email_17,tok_phone_17
user_18,2025-10-07,failed,4,6,1,6.50,tok_email_18,tok_phone_18
user_19,2025-08-25,paid,0,33,20,21.00,tok_email_19,tok_phone_19
user_20,2025-09-05,failed,2,16,7,12.00,tok_email_20,tok_phone_20
user_21,2025-10-01,paid,0,8,14,11.50,tok_email_21,tok_phone_21
user_22,2025-09-27,failed,1,11,3,9.00,tok_email_22,tok_phone_22
user_23,2025-10-03,paid,0,3,1,10.50,tok_email_23,tok_phone_23
user_24,2025-08-18,failed,2,55,22,14.75,tok_email_24,tok_phone_24
user_25,2025-09-12,paid,0,19,10,16.25,tok_email_25,tok_phone_25
user_26,2025-10-05,failed,1,2,0,8.99,tok_email_26,tok_phone_26
user_27,2025-07-29,paid,0,95,40,22.00,tok_email_27,tok_phone_27
user_28,2025-09-02,failed,3,27,6,13.00,tok_email_28,tok_phone_28
user_29,2025-10-02,paid,0,6,4,12.75,tok_email_29,tok_phone_29
user_30,2025-08-09,failed,2,63,16,9.25,tok_email_30,tok_phone_30
user_31,2025-09-21,paid,0,9,13,17.00,tok_email_31,tok_phone_31
user_32,2025-10-06,failed,1,2,1,11.00,tok_email_32,tok_phone_32
user_33,2025-07-12,paid,0,110,44,19.50,tok_email_33,tok_phone_33
